@relation tic-tac-toe
@attribute TopLeft {x, o, b}
@attribute TopMiddle {x, o, b}
@attribute TopRight {x, o, b}
@attribute MiddleLeft {x, o, b}
@attribute MiddleMiddle {o, b, x}
@attribute MiddleRight {o, b, x}
@attribute BottomLeft {x, o, b}
@attribute BottomMiddle {o, x, b}
@attribute BottomRight {o, x, b}
@attribute Class {positive, negative}
@inputs TopLeft, TopMiddle, TopRight, MiddleLeft, MiddleMiddle, MiddleRight, BottomLeft, BottomMiddle, BottomRight
@outputs Class
@data
x, x, x, o, x, o, o, x, o, positive
x, x, x, o, o, x, o, o, x, positive
x, x, x, o, o, b, b, x, o, positive
x, x, x, b, x, o, o, o, b, positive
x, x, x, b, o, o, x, b, o, positive
x, x, b, x, b, o, x, o, o, positive
x, x, b, o, x, o, o, x, b, positive
x, o, x, x, o, o, x, b, b, positive
x, o, x, o, x, o, x, o, x, positive
x, o, x, o, x, b, o, b, x, positive
x, o, x, o, b, x, o, b, x, positive
x, o, x, b, o, x, o, b, x, positive
x, o, o, x, x, x, o, o, x, positive
x, o, o, x, o, b, x, x, b, positive
x, o, o, x, b, x, x, o, b, positive
x, o, o, o, x, b, x, b, x, positive
x, o, o, o, o, x, x, x, x, positive
x, o, o, b, x, b, b, b, x, positive
x, o, o, b, o, b, x, x, x, positive
x, o, b, x, x, x, b, o, o, positive
x, o, b, x, o, o, x, b, x, positive
x, o, b, x, b, b, x, b, o, positive
x, o, b, o, x, o, b, x, x, positive
x, o, b, o, b, o, x, x, x, positive
x, b, x, x, o, b, x, o, o, positive
x, b, x, o, x, o, x, b, o, positive
x, b, x, o, x, o, b, o, x, positive
x, b, o, x, x, b, x, o, o, positive
x, b, o, x, o, b, x, x, o, positive
x, b, b, o, x, o, b, b, x, positive
o, x, x, o, x, b, x, o, b, positive
o, x, x, b, x, b, x, o, o, positive
o, x, o, o, o, x, x, x, x, positive
o, x, o, b, b, o, x, x, x, positive
o, x, b, x, x, x, o, b, o, positive
o, x, b, o, x, x, b, x, o, positive
o, x, b, o, x, o, b, x, x, positive
o, x, b, o, x, b, x, x, o, positive
o, x, b, b, x, x, o, x, o, positive
o, o, x, x, x, x, b, b, o, positive
o, o, x, x, x, b, x, b, o, positive
o, o, x, o, x, b, x, x, b, positive
o, o, x, o, b, x, x, b, x, positive
o, o, x, b, x, o, x, x, b, positive
o, o, x, b, x, b, x, o, x, positive
o, o, x, b, b, x, o, x, x, positive
o, o, b, x, b, o, x, x, x, positive
o, o, b, o, b, x, x, x, x, positive
o, o, b, b, o, x, x, x, x, positive
o, b, x, x, o, x, b, o, x, positive
o, b, x, x, b, x, o, o, x, positive
o, b, x, b, x, x, o, o, x, positive
o, b, x, b, x, o, x, x, o, positive
o, b, x, b, x, o, x, b, b, positive
o, b, o, o, b, x, x, x, x, positive
b, x, x, o, x, o, o, x, b, positive
b, x, o, o, x, o, b, x, x, positive
b, x, b, o, x, x, o, x, o, positive
b, o, x, x, b, x, o, o, x, positive
b, o, x, b, x, o, x, o, x, positive
b, o, x, b, x, o, x, b, b, positive
b, o, o, x, x, x, x, b, o, positive
b, o, o, x, x, x, b, x, o, positive
x, x, o, x, o, x, o, b, o, negative
x, x, o, x, o, b, o, x, o, negative
x, x, o, o, o, o, x, b, x, negative
x, x, o, b, o, x, o, o, x, negative
x, o, x, x, x, b, o, o, o, negative
x, o, x, x, o, b, b, o, b, negative
x, o, x, o, o, o, x, b, x, negative
x, o, x, o, o, o, b, x, x, negative
x, o, x, o, o, b, x, o, x, negative
x, o, x, b, o, x, b, o, b, negative
x, o, b, b, o, x, x, o, b, negative
x, b, x, x, x, o, o, o, o, negative
x, b, x, o, o, o, x, o, x, negative
x, b, x, o, o, o, x, b, b, negative
x, b, o, x, x, o, o, x, o, negative
x, b, o, x, o, o, o, x, x, negative
x, b, b, x, x, b, o, o, o, negative
x, b, b, b, x, x, o, o, o, negative
o, x, x, o, x, o, o, b, x, negative
o, x, x, o, x, b, o, b, b, negative
o, x, x, o, o, x, x, b, o, negative
o, x, x, o, b, x, o, x, o, negative
o, x, x, o, b, o, o, x, x, negative
o, x, x, b, o, b, x, b, o, negative
o, x, x, b, o, b, b, x, o, negative
o, x, o, x, x, o, x, b, o, negative
o, x, b, x, o, x, o, x, o, negative
o, x, b, o, o, x, o, x, x, negative
o, o, o, x, x, o, x, x, b, negative
o, o, o, x, x, o, b, x, x, negative
o, o, o, b, x, x, o, x, x, negative
o, o, b, o, x, x, o, x, x, negative
o, b, x, o, x, x, o, x, o, negative
