Dataset;NSLV;NSLVR;NSLVF;NSLVFR
appendicitis ;  93.3  ; 92.8  ; 93.2  ;92
australian ; 90.3  ; 88.7  ; 89.5  ;  90.7 
automobile ; 97.6  ; 98.5  ;  99.3  ; 99.1 
balance ; 85.8  ; 98.1  ; 94.6  ;  98.4 
banana ; 76.5  ; 79.3  ;87;  88.8 
breast ;86;81; 79.9  ; 82.4 
bupa ; 69.9  ; 78.8  ; 80.7  ;  85.3 
chess ;95; 94.3  ; 94.5  ; 94.5 
cleveland ;  92.9  ; 86.3  ; 89.4  ; 90.6 
contraceptive ; 49.3  ; 63.7  ;  70.3  ; 70.1 
crx ;  89.9  ; 89.5  ; 87.5  ; 88.9 
dermatology ; 99.1  ;  99.6  ; 99.5  ;  99.6 
ecoli ; 87.3  ; 94.1  ; 92.8  ;  95.2 
flare ;74;  80.7  ; 79.3  ; 80.4 
glass ; 80.2  ; 83.6  ; 83.3  ;  85.6 
haberman ;  78.1  ; 73.7  ; 74.6  ; 74.7 
hayes ; 88.7  ; 88.1  ;  90.9  ; 90.6 
heart ; 91.7  ; 92.3  ; 91.9  ;  94.4 
housevotes ; 97.4  ; 97.7  ; 97.8  ;  98.3 
iris ; 97.3  ;97;  99.1  ; 98.9 
led7digit ; 65.2  ;79;  79.2  ;  79.2 
lymphography ; 96.3  ;  96.6  ; 95.1  ; 96.1 
monk ; 97.5  ;  99.1  ; 98.6  ; 98.7 
movement ; 98.2  ; 99.2  ;  99.5  ; 99.4 
new ; 95.1  ; 96.4  ;  97.6  ;  97.6 
pima ; 79.5  ; 81.8  ;82;  82.8 
post ;  81.6  ; 76.7  ;74; 78.4 
ring ; 94.9  ; 95.1  ;  97.2  ; 96.1 
saheart ; 81.1  ;81; 82.2  ;  85.1 
sonar ; 98.1  ; 97.6  ;98;  98.7 
spectfheart ; 79.8  ; 79.7  ; 79.4  ;  80.5 
splice ; 94.6  ; 94.9  ; 94.4  ;96
thyroid ;93; 93.8  ; 92.7  ;94
titanic ; 77.2  ; 78.3  ;  78.6  ; 78.4 
vehicle ; 84.5  ; 87.1  ;90; 89.1 
vowel ; 94.5  ; 94.8  ;97; 96.1 
wdbc ; 98.1  ; 98.7  ;  98.8  ; 98.7 
wine ; 99.8  ;100;100;100
wisconsin ; 98.3  ; 98.7  ; 98.7  ;  98.8 
yeast ; 51.8  ; 65.3  ; 67.9  ;  70.1 
